2026/07/17 19:57:14.803, 0, 114, 1.53, 43
2026/07/17 19:57:15.810, 0, 114, 1.50, 43
2026/07/17 19:57:16.810, 0, 114, 1.49, 43
2026/07/17 19:57:17.811, 0, 204, 3.22, 45
2026/07/17 19:57:18.811, 0, 325, 11.81, 45
2026/07/17 19:57:19.830, 6, 520, 12.03, 46
2026/07/17 19:57:20.830, 6, 520, 12.44, 46
2026/07/17 19:57:21.831, 6, 520, 12.45, 47
2026/07/17 19:57:22.831, 6, 520, 12.52, 47
2026/07/17 19:57:23.832, 6, 520, 12.49, 47
2026/07/17 19:57:24.832, 5, 520, 12.52, 48
2026/07/17 19:57:25.832, 5, 520, 12.55, 48
2026/07/17 19:57:26.833, 5, 520, 12.52, 48
2026/07/17 19:57:27.833, 7, 520, 12.61, 48
2026/07/17 19:57:28.834, 6, 520, 12.67, 48
2026/07/17 19:57:29.834, 6, 520, 12.54, 49
2026/07/17 19:57:30.834, 6, 520, 12.63, 49
2026/07/17 19:57:31.835, 7, 520, 12.76, 49
2026/07/17 19:57:32.835, 3, 520, 12.73, 49
2026/07/17 19:57:33.835, 7, 520, 12.75, 50
2026/07/17 19:57:34.836, 8, 520, 12.74, 50
2026/07/17 19:57:35.836, 6, 520, 12.79, 50
2026/07/17 19:57:36.836, 8, 520, 12.84, 50
2026/07/17 19:57:37.837, 6, 520, 12.86, 51
2026/07/17 19:57:38.837, 6, 520, 12.88, 51
2026/07/17 19:57:39.837, 5, 520, 12.89, 51
2026/07/17 19:57:40.838, 7, 520, 12.69, 51
2026/07/17 19:57:41.838, 5, 520, 12.72, 51
2026/07/17 19:57:42.838, 8, 520, 12.80, 51
2026/07/17 19:57:43.839, 7, 520, 12.91, 51
2026/07/17 19:57:44.847, 8, 520, 12.95, 51
2026/07/17 19:57:45.847, 7, 520, 12.95, 51
2026/07/17 19:57:46.847, 6, 520, 12.95, 52
2026/07/17 19:57:47.847, 7, 520, 13.01, 52
2026/07/17 19:57:48.848, 6, 520, 13.04, 52
2026/07/17 19:57:49.848, 7, 520, 13.02, 52
2026/07/17 19:57:50.848, 7, 520, 12.94, 52
2026/07/17 19:57:51.849, 8, 520, 12.97, 52
