controller,trial,seed,object_x_m,object_y_m,object_yaw_rad,set_pose_success,pick_state,place_state,pick_time_s,place_time_s,cycle_time_s,state_success,physics_success,cycle_success,final_box_x_m,final_box_y_m,final_box_z_m,final_xy_error_m,final_z_error_m,status
rl_residual_cuda_gazebo_gpu_server,1,200545144,0.26338831019617764,-0.0012518412613436915,-0.2988100121924471,True,WAIT_DELIVERY,COMPLETE,8.95059931500873,9.32592552198912,18.27652483699785,True,False,False,0.1972579540198648,0.13096582096759987,0.027499920620786752,0.14981138646676204,0.17000007937921324,state=COMPLETE detail=pick place complete model=arm_delivery_residual_v2 grasped=False mode=reference_plus_residual ref_stage=2/2 track_error=0.0011 pending=none
rl_residual_cuda_gazebo_gpu_server,2,941319530,0.26297963015187303,0.0011514768548009126,-0.00646324761815309,True,WAIT_DELIVERY,COMPLETE,12.315365375005058,12.359956798987696,24.675322173992754,True,True,True,0.2744676167417501,-0.0005753677255887543,0.1974999753815909,0.004504514110402429,2.4618409116827777e-08,state=COMPLETE detail=pick place complete model=arm_delivery_residual_v2 grasped=False mode=reference_plus_residual ref_stage=2/2 track_error=0.0011 pending=none
rl_residual_cuda_gazebo_gpu_server,3,1789815469,0.27482968575468103,-0.0016621654534981628,-0.012748493948986472,True,WAIT_DELIVERY,COMPLETE,14.28793661200325,9.666386110999156,23.954322723002406,True,True,True,0.28300823168849426,-0.0021330613265374406,0.1974996436353855,0.013181958969907145,3.563646145121613e-07,state=COMPLETE detail=pick place complete model=arm_delivery_residual_v2 grasped=False mode=reference_plus_residual ref_stage=2/2 track_error=0.0011 pending=none
rl_residual_cuda_gazebo_gpu_server,4,558160547,0.2726134346700259,0.006693865237126716,-0.07878952657587374,True,WAIT_DELIVERY,COMPLETE,9.030553917997167,9.345324793001055,18.375878710998222,True,False,False,0.11686563457141609,-0.037150557720811675,0.027499977769396326,0.15757632377417125,0.17000002223060368,state=COMPLETE detail=pick place complete model=arm_delivery_residual_v2 grasped=False mode=reference_plus_residual ref_stage=2/2 track_error=0.0010 pending=none
rl_residual_cuda_gazebo_gpu_server,5,1982470409,0.2723464057364722,-0.009037211907968707,0.048750597050816746,True,WAIT_DELIVERY,COMPLETE,8.543441186004202,9.46085474100255,18.00429592700675,True,False,False,0.2875559388597406,-0.02785696907721479,0.19999997148607315,0.032927522157244864,0.0024999714860731437,state=COMPLETE detail=pick place complete model=arm_delivery_residual_v2 grasped=False mode=reference_plus_residual ref_stage=2/2 track_error=0.0000 pending=none
rl_residual_cuda_gazebo_gpu_server,6,272244289,0.26394995944665617,-0.00923608337378482,0.29132391103369243,True,WAIT_DELIVERY,FAULT,10.403860466001788,6.45367504900787,16.85753551500966,False,False,False,0.293194315986184,0.02165459510854408,0.20011707571905465,0.03173165270486129,0.0026170757190546456,state=FAULT detail=gripper failed status=6 reached=False stalled=True model=arm_delivery_residual_v2 grasped=True mode=reference_plus_residual ref_stage=2/2 track_error=0.0000 pending=none
rl_residual_cuda_gazebo_gpu_server,7,1938575456,0.26436611573038243,-0.0003285728790745207,-0.18762420488370474,True,WAIT_DELIVERY,COMPLETE,8.549522622008226,9.35682418900251,17.906346811010735,True,False,False,0.13326985348904055,-0.018375629040341235,0.02999980223015011,0.13795940238902413,0.1675001977698499,state=COMPLETE detail=pick place complete model=arm_delivery_residual_v2 grasped=False mode=reference_plus_residual ref_stage=2/2 track_error=0.0010 pending=none
rl_residual_cuda_gazebo_gpu_server,8,2106556908,0.27651058707339493,0.004477656213499987,-0.038536308607747205,True,WAIT_DELIVERY,COMPLETE,10.177691749995574,9.314603578008246,19.49229532800382,True,False,False,0.28042607148835536,-0.15559329418573886,0.029999889450360896,0.15594222058907004,0.16750011054963912,state=COMPLETE detail=pick place complete model=arm_delivery_residual_v2 grasped=False mode=reference_plus_residual ref_stage=2/2 track_error=0.0000 pending=none
rl_residual_cuda_gazebo_gpu_server,9,1654575640,0.27314839634781624,0.007488561598880969,-0.25819778491236817,True,WAIT_DELIVERY,COMPLETE,10.424777049003751,9.422712535000755,19.847489584004506,True,True,True,0.293688534408334,-0.006566707480582638,0.19749992762801788,0.024581869529194927,7.237198212939333e-08,state=COMPLETE detail=pick place complete model=arm_delivery_residual_v2 grasped=False mode=reference_plus_residual ref_stage=2/2 track_error=0.0011 pending=none
rl_residual_cuda_gazebo_gpu_server,10,1399407241,0.2635587838128116,-0.0016964981156625085,-0.06185035238800882,True,WAIT_DELIVERY,COMPLETE,10.87482229199668,9.228866275007022,20.1036885670037,True,True,True,0.2860951837714786,0.008201780365563025,0.19749995455088964,0.018064444132123245,4.5449110364081946e-08,state=COMPLETE detail=pick place complete model=arm_delivery_residual_v2 grasped=False mode=reference_plus_residual ref_stage=2/2 track_error=0.0010 pending=none
