2026/07/17 19:27:23.459, 0, 114, 1.49, 43
2026/07/17 19:27:24.466, 0, 114, 1.51, 44
2026/07/17 19:27:25.466, 0, 114, 1.49, 44
2026/07/17 19:27:26.467, 0, 204, 1.48, 44
2026/07/17 19:27:27.467, 0, 349, 10.66, 46
2026/07/17 19:27:28.467, 2, 520, 12.08, 46
2026/07/17 19:27:29.467, 7, 520, 12.53, 47
2026/07/17 19:27:30.468, 6, 520, 12.67, 47
2026/07/17 19:27:31.468, 6, 520, 12.75, 48
2026/07/17 19:27:32.468, 8, 520, 12.63, 48
2026/07/17 19:27:33.469, 6, 520, 12.69, 48
2026/07/17 19:27:34.469, 6, 520, 12.69, 49
2026/07/17 19:27:35.469, 6, 520, 12.71, 49
2026/07/17 19:27:36.469, 6, 520, 12.66, 49
2026/07/17 19:27:37.470, 7, 520, 12.68, 50
2026/07/17 19:27:38.470, 7, 520, 12.74, 50
2026/07/17 19:27:39.470, 5, 520, 12.74, 50
2026/07/17 19:27:40.470, 7, 520, 12.82, 50
2026/07/17 19:27:41.471, 6, 520, 12.81, 51
2026/07/17 19:27:42.471, 7, 520, 12.83, 51
2026/07/17 19:27:43.471, 8, 520, 12.88, 51
2026/07/17 19:27:44.472, 7, 520, 11.55, 51
2026/07/17 19:27:45.472, 25, 520, 8.26, 50
2026/07/17 19:27:46.472, 28, 520, 7.92, 50
2026/07/17 19:27:47.473, 25, 520, 7.77, 51
2026/07/17 19:27:48.473, 26, 520, 7.21, 51
2026/07/17 19:27:49.473, 24, 520, 7.62, 51
2026/07/17 19:27:50.474, 32, 520, 7.29, 51
2026/07/17 19:27:51.474, 31, 520, 7.86, 51
2026/07/17 19:27:52.474, 30, 520, 7.25, 51
2026/07/17 19:27:53.475, 30, 114, 7.13, 51
2026/07/17 19:27:54.475, 0, 114, 2.80, 51
2026/07/17 19:27:55.475, 0, 114, 1.64, 50
2026/07/17 19:27:56.478, 0, 114, 1.62, 50
2026/07/17 19:27:57.478, 0, 114, 1.52, 51
2026/07/17 19:27:58.478, 0, 114, 1.52, 51
2026/07/17 19:27:59.479, 0, 204, 5.86, 52
2026/07/17 19:28:00.479, 0, 340, 12.28, 52
2026/07/17 19:28:01.479, 0, 520, 12.60, 52
2026/07/17 19:28:02.479, 6, 520, 12.98, 52
2026/07/17 19:28:03.480, 4, 520, 13.09, 52
2026/07/17 19:28:04.480, 7, 520, 13.21, 53
2026/07/17 19:28:05.481, 8, 520, 13.22, 53
2026/07/17 19:28:06.481, 7, 520, 13.12, 53
2026/07/17 19:28:07.481, 7, 520, 13.14, 53
2026/07/17 19:28:08.482, 7, 520, 13.13, 54
2026/07/17 19:28:09.482, 6, 520, 13.18, 54
2026/07/17 19:28:10.482, 7, 520, 13.25, 54
2026/07/17 19:28:11.483, 6, 520, 13.05, 54
2026/07/17 19:28:12.483, 7, 520, 12.98, 54
2026/07/17 19:28:13.483, 4, 520, 12.82, 54
2026/07/17 19:28:14.484, 1, 520, 12.95, 54
2026/07/17 19:28:15.484, 2, 520, 13.02, 54
2026/07/17 19:28:16.484, 2, 520, 12.91, 54
2026/07/17 19:28:17.485, 2, 520, 11.65, 53
2026/07/17 19:28:18.485, 19, 520, 8.04, 53
2026/07/17 19:28:19.486, 14, 520, 7.40, 53
2026/07/17 19:28:20.486, 51, 520, 6.34, 53
