controller,trial,seed,bucket,pick_success,pick_collision,pick_truncated,pick_steps,pick_time_s,pick_reward,pick_reach_distance_m,pick_stay_error_rad,place_success,place_collision,place_truncated,place_steps,place_time_s,place_reward,place_placement_error_m,place_stay_error_rad,cycle_success,cycle_collision,cycle_steps,cycle_time_s,total_reward,inference_calls,inference_total_ms,inference_mean_ms
mp_reference_proxy,1,200545144,x_pos__y_neg,True,False,False,491,9.82,-66.99290583209523,0.0011473662544432583,0.004686604526301739,True,False,False,491,9.82,-7.905636015537084,0.0,0.003180249399085813,True,False,982,19.64,-74.89854184763232,0,0.0,0.0
mp_reference_proxy,2,941319530,x_neg__y_neg,False,False,True,650,13.0,-222.0641733673175,5.279562708318167e-05,0.0006010118225121556,True,False,False,487,9.74,7.945340607703713,0.0,0.004039618637811823,False,False,1137,22.740000000000002,-214.11883275961378,0,0.0,0.0
mp_reference_proxy,3,138107925,x_mid__y_pos,True,False,False,497,9.94,-66.32084772409229,0.000883867229804162,0.003562587466700944,True,False,False,494,9.88,-2.3736109685312954,0.0,0.0034328759179785835,True,False,991,19.82,-68.69445869262358,0,0.0,0.0
mp_reference_proxy,4,363817036,x_neg__y_pos,True,False,False,472,9.44,-21.112519133012484,0.0007111097871525186,0.0031907384364342176,True,False,False,472,9.44,39.0840397347402,0.0,0.003969832399889884,True,False,944,18.88,17.97152060172772,0,0.0,0.0
mp_reference_proxy,5,294791400,x_pos__y_mid,True,False,False,477,9.540000000000001,-43.77474501642726,0.0009586045263131577,0.0036361531250289083,True,False,False,477,9.540000000000001,15.087532040062456,0.0,0.0036362342063667855,True,False,954,19.080000000000002,-28.687212976364805,0,0.0,0.0
mp_reference_proxy,6,939326391,x_neg__y_pos,True,False,False,475,9.5,-35.9793232777638,0.001038467547662833,0.004127424623298861,True,False,False,475,9.5,23.143162877903563,0.0,0.004141227709334342,True,False,950,19.0,-12.836160399860233,0,0.0,0.0
mp_reference_proxy,7,1131288637,x_pos__y_mid,True,False,False,482,9.64,-52.40553870411949,0.0014273741604682129,0.005558424488211221,True,False,False,482,9.64,6.57275729760363,0.0,0.003941087130836028,True,False,964,19.28,-45.83278140651586,0,0.0,0.0
mp_reference_proxy,8,4259131,x_neg__y_mid,True,False,False,480,9.6,-37.439646947374825,0.0013666157554661886,0.005194123122620908,True,False,False,480,9.6,22.632218466751056,0.0,0.004012329164982398,True,False,960,19.2,-14.80742848062377,0,0.0,0.0
mp_reference_proxy,9,1768469080,x_neg__y_pos,True,False,False,518,10.36,-91.52571459514519,0.001093944134658919,0.004287723877628363,True,False,False,518,10.36,-29.14813394487868,0.0,0.0036848470492976204,True,False,1036,20.72,-120.67384854002387,0,0.0,0.0
mp_reference_proxy,10,319935350,x_pos__y_neg,True,False,False,502,10.040000000000001,-75.84194387096957,0.0008170773102496596,0.0033845864248359114,True,False,False,502,10.040000000000001,-14.85430049579955,0.0,0.0036220666023093137,True,False,1004,20.080000000000002,-90.69624436676912,0,0.0,0.0
mp_reference_proxy,11,1446422873,x_neg__y_mid,True,False,False,503,10.06,-74.84143317487718,0.000850231468092965,0.003220737904763578,True,False,False,503,10.06,-13.756059485961686,0.0,0.0032146746089504173,True,False,1006,20.12,-88.59749266083887,0,0.0,0.0
mp_reference_proxy,12,1197380708,x_mid__y_pos,True,False,False,513,10.26,-88.62887910222213,0.0011980093146822094,0.004615700649887724,True,False,False,513,10.26,-27.130395380565886,0.0,0.0038938005844867027,True,False,1026,20.52,-115.75927448278802,0,0.0,0.0
mp_reference_proxy,13,909397601,x_neg__y_neg,False,False,True,650,13.0,-217.84034501862055,0.0004226020580515056,0.0016121815129120155,True,False,False,485,9.700000000000001,11.645182069791872,0.0,0.0031295392582347706,False,False,1135,22.700000000000003,-206.19516294882868,0,0.0,0.0
mp_reference_proxy,14,1050608959,x_mid__y_pos,True,False,False,467,9.34,-26.27578134380039,0.0006629854357635236,0.002720247596769635,True,False,False,466,9.32,32.0059354153172,0.0,0.0039046205683354977,True,False,933,18.66,5.730154071516807,0,0.0,0.0
mp_reference_proxy,15,1789815469,x_mid__y_pos,True,False,False,495,9.9,-66.23031062820698,0.0008948595049381375,0.0036959435234593953,True,False,False,495,9.9,-6.5242061691774325,0.0,0.003949082521461467,True,False,990,19.8,-72.75451679738441,0,0.0,0.0
mp_reference_proxy,16,558160547,x_pos__y_mid,True,False,False,502,10.040000000000001,-70.8120529856499,0.0009335900023151929,0.0036216674743642123,True,False,False,502,10.040000000000001,-10.002357418683744,0.0,0.0036217013141094548,True,False,1004,20.080000000000002,-80.81441040433364,0,0.0,0.0
mp_reference_proxy,17,677753507,x_mid__y_pos,True,False,False,513,10.26,-88.84376806287847,0.0008156218293492291,0.0032487851380582867,True,False,False,513,10.26,-26.998596545392218,0.0,0.0036950259304527637,True,False,1026,20.52,-115.84236460827069,0,0.0,0.0
mp_reference_proxy,18,1592325382,x_pos__y_mid,True,False,False,468,9.36,-28.280796478218093,0.001010865555175154,0.003993284463447741,True,False,False,468,9.36,29.767233860885057,0.0,0.003811001991806956,True,False,936,18.72,1.4864373826669635,0,0.0,0.0
mp_reference_proxy,19,1791472581,x_mid__y_pos,True,False,False,488,9.76,-61.46981317559664,0.0013888464897182965,0.005414797331846443,True,False,False,488,9.76,-2.474998796128574,0.0,0.004014832077122511,True,False,976,19.52,-63.944811971725215,0,0.0,0.0
mp_reference_proxy,20,895268166,x_pos__y_mid,True,False,False,471,9.42,-38.052859060624286,0.0007230909591792178,0.0028288470062190784,True,False,False,471,9.42,20.148954271080896,0.0,0.002926223394019658,True,False,942,18.84,-17.90390478954339,0,0.0,0.0
mp_reference_proxy,21,1488382292,x_pos__y_neg,True,False,False,469,9.38,-28.91347829184025,0.0008820401756193668,0.003432100330798405,True,False,False,469,9.38,29.508939990621826,0.0,0.003433328546852043,True,False,938,18.76,0.5954616987815768,0,0.0,0.0
mp_reference_proxy,22,1028113186,x_mid__y_pos,True,False,False,479,9.58,-42.82115893148449,0.0009845809439804414,0.0038924699672180183,True,False,False,479,9.58,16.34798609675346,0.0,0.004107692046538837,True,False,958,19.16,-26.47317283473103,0,0.0,0.0
mp_reference_proxy,23,1932053901,x_mid__y_pos,True,False,False,482,9.64,-44.93070317460598,0.0010109094396631168,0.0038722317161489343,True,False,False,482,9.64,14.767137855455303,0.0,0.0038722241601388692,True,False,964,19.28,-30.163565319150678,0,0.0,0.0
mp_reference_proxy,24,1354357233,x_neg__y_neg,True,False,False,512,10.24,-88.1662230153089,0.0011648406122129,0.004486816063117412,True,False,False,512,10.24,-26.841215939894425,0.0,0.004414629291988803,True,False,1024,20.48,-115.00743895520333,0,0.0,0.0
mp_reference_proxy,25,1856556549,x_mid__y_pos,True,False,False,499,9.98,-68.81048581727691,0.0008666822873436486,0.0032711442082407486,True,False,False,499,9.98,-8.105353599571089,0.0,0.0030110998999654825,True,False,998,19.96,-76.915839416848,0,0.0,0.0
mp_reference_proxy,26,1792490129,x_neg__y_pos,True,False,False,481,9.620000000000001,-37.27534644725438,0.0013169989043564196,0.0050267573771605,True,False,False,481,9.620000000000001,22.623362282701294,0.0,0.00412310032301467,True,False,962,19.240000000000002,-14.651984164553085,0,0.0,0.0
mp_reference_proxy,27,319615542,x_mid__y_pos,True,False,False,510,10.200000000000001,-73.1370815974474,0.000976974682414085,0.0038840388400251166,True,False,False,510,10.200000000000001,-10.635221453384332,0.0,0.0033476397714737784,True,False,1020,20.400000000000002,-83.77230305083174,0,0.0,0.0
mp_reference_proxy,28,791743123,x_neg__y_mid,True,False,False,525,10.5,-108.04338049614557,0.0006543115644413396,0.002875916391476073,True,False,False,525,10.5,-45.40978293743518,0.0,0.003504464792103069,True,False,1050,21.0,-153.45316343358076,0,0.0,0.0
mp_reference_proxy,29,1982470409,x_neg__y_neg,True,False,False,524,10.48,-107.3339847135484,0.000524276155840063,0.002366755202047983,True,False,False,524,10.48,-44.2762990545215,0.0,0.0036839188297013584,True,False,1048,20.96,-151.6102837680699,0,0.0,0.0
mp_reference_proxy,30,272244289,x_mid__y_pos,True,False,False,491,9.82,-65.68263599774383,0.0014111540487542493,0.005583427622048054,True,False,False,492,9.84,-6.1985405964850315,0.0,0.003578939105309934,True,False,983,19.66,-71.88117659422886,0,0.0,0.0
mp_reference_proxy,31,139022388,x_mid__y_neg,True,False,False,478,9.56,-39.62386951825502,0.0010781160532606024,0.004126074741824939,True,False,False,482,9.64,14.027293475171064,0.0,0.004330840030964536,True,False,960,19.200000000000003,-25.596576043083957,0,0.0,0.0
mp_reference_proxy,32,1325685220,x_neg__y_mid,True,False,False,511,10.22,-85.09506755252119,0.0005092609221688509,0.002197610406031702,True,False,False,511,10.22,-23.30554412569569,0.0,0.0034049617769221193,True,False,1022,20.44,-108.40061167821688,0,0.0,0.0
mp_reference_proxy,33,886121101,x_pos__y_pos,False,True,False,311,6.22,-1617.4871448823674,0.051901333888441016,2.487708979693908,False,True,False,311,6.22,-1555.4136905434402,0.05278418855351184,2.4876619850816133,False,True,622,12.44,-3172.9008354258076,0,0.0,0.0
mp_reference_proxy,34,103378583,x_pos__y_neg,True,False,False,478,9.56,-43.734870488929914,0.00047671742620954935,0.0025842637296719785,True,False,False,480,9.6,11.835037858548617,0.0,0.0036927721833534453,True,False,958,19.16,-31.899832630381297,0,0.0,0.0
mp_reference_proxy,35,1409222576,x_pos__y_mid,True,False,False,495,9.9,-72.13246464405458,0.0010888537159339357,0.0044712172310265004,True,False,False,495,9.9,-12.780953786334607,0.0,0.0036494194360779018,True,False,990,19.8,-84.91341843038919,0,0.0,0.0
mp_reference_proxy,36,1248227006,x_neg__y_neg,True,False,False,493,9.86,-61.3137973898958,0.0007157622066998693,0.002804661114463499,True,False,False,493,9.86,-0.9106995966343732,0.0,0.003072902772647739,True,False,986,19.72,-62.22449698653017,0,0.0,0.0
mp_reference_proxy,37,420309234,x_neg__y_pos,True,False,False,512,10.24,-88.93884085434468,0.0008134564093073993,0.00327474210600744,True,False,False,512,10.24,-27.036683201267437,0.0,0.003746907544260173,True,False,1024,20.48,-115.97552405561211,0,0.0,0.0
mp_reference_proxy,38,424123665,x_mid__y_pos,True,False,False,509,10.18,-82.74078785252644,0.0009690191989678688,0.0037109443904537625,True,False,False,509,10.18,-21.420452543918515,0.0,0.0037109133923008083,True,False,1018,20.36,-104.16124039644495,0,0.0,0.0
mp_reference_proxy,39,694158663,x_neg__y_neg,True,False,False,479,9.58,-28.58254246648187,0.0010739836089980208,0.004150817662472125,True,False,False,478,9.56,31.75036844522603,0.0,0.0046483215191321136,True,False,957,19.14,3.167825978744162,0,0.0,0.0
mp_reference_proxy,40,82024922,x_neg__y_pos,True,False,False,512,10.24,-84.06317676091263,0.0009231930321148313,0.003685402761462974,True,False,False,512,10.24,-22.370852558136022,0.0,0.003537846813853197,True,False,1024,20.48,-106.43402931904865,0,0.0,0.0
mp_reference_proxy,41,116404134,x_pos__y_pos,True,False,False,482,9.64,-50.420784638862756,0.0011737332762369644,0.0047681649951357595,True,False,False,482,9.64,8.356658076151916,0.0,0.0030547347180680125,True,False,964,19.28,-42.06412656271084,0,0.0,0.0
mp_reference_proxy,42,2116430715,x_pos__y_mid,True,False,False,479,9.58,-39.47146357393433,0.0009498892175400223,0.003660917869737211,True,False,False,479,9.58,19.718358603298384,0.0,0.0033636972068743836,True,False,958,19.16,-19.753104970635945,0,0.0,0.0
mp_reference_proxy,43,1938575456,x_mid__y_mid,True,False,False,507,10.14,-78.71101496797351,0.0010656688218336956,0.004262319202666127,True,False,False,507,10.14,-17.521296850436244,0.0,0.004041457871051883,True,False,1014,20.28,-96.23231181840976,0,0.0,0.0
mp_reference_proxy,44,2106556908,x_pos__y_neg,True,False,False,522,10.44,-116.50740627294431,0.0010926547867730941,0.004220826389629461,True,False,False,522,10.44,-55.13503680727703,0.0,0.0031673297768843563,True,False,1044,20.88,-171.64244308022134,0,0.0,0.0
mp_reference_proxy,45,1346870169,x_pos__y_mid,False,True,False,305,6.1000000000000005,-1619.1202041489041,0.05221264233787903,2.374121629365508,False,True,False,305,6.1000000000000005,-1558.097042931881,0.05396411691929771,2.3738573521949666,False,True,610,12.200000000000001,-3177.2172470807855,0,0.0,0.0
mp_reference_proxy,46,468808106,x_mid__y_neg,True,False,False,515,10.3,-92.67126044133022,0.0009437861320051169,0.003638246269030984,True,False,False,515,10.3,-30.663376942906552,0.0,0.0033924375200514905,True,False,1030,20.6,-123.33463738423677,0,0.0,0.0
mp_reference_proxy,47,1076144798,x_mid__y_mid,True,False,False,482,9.64,-42.74199565155601,0.0006670202699453911,0.0027748919471204747,True,False,False,480,9.6,16.07655842253419,0.0,0.0033964191039266697,True,False,962,19.240000000000002,-26.66543722902182,0,0.0,0.0
mp_reference_proxy,48,1038461579,x_neg__y_neg,True,False,False,504,10.08,-68.99891464279787,0.001045630130842295,0.004099081035906479,True,False,False,504,10.08,-7.507032613688608,0.0,0.0037705915677999904,True,False,1008,20.16,-76.50594725648648,0,0.0,0.0
mp_reference_proxy,49,1741197189,x_mid__y_neg,True,False,False,497,9.94,-67.90189353589764,0.0007330153180279813,0.003202410581059062,True,False,False,497,9.94,-7.579173987449963,0.0,0.003432761069857224,True,False,994,19.88,-75.4810675233476,0,0.0,0.0
mp_reference_proxy,50,402208636,x_pos__y_neg,False,True,False,302,6.04,-1616.2186661197743,0.04961124067604974,2.3458381999244904,False,True,False,302,6.04,-1555.8244965278502,0.05502189281893795,2.3457512226703634,False,True,604,12.08,-3172.0431626476247,0,0.0,0.0
rl_residual,1,200545144,x_pos__y_neg,True,False,False,451,9.02,-37.88684743211141,0.0008623159020276974,0.0034076305419476044,True,False,False,453,9.06,10.685723521165897,0.0,0.003963254416773948,True,False,904,18.08,-27.201123910945512,904,157.472341,0.1741950674778761
rl_residual,2,941319530,x_neg__y_neg,True,False,False,452,9.040000000000001,-29.58302660910894,0.0005763051767047146,0.0026593721663286246,True,False,False,448,8.96,29.251405405264393,0.0,0.003732616293943098,True,False,900,18.0,-0.3316212038445485,900,153.18111900000002,0.17020124333333336
rl_residual,3,138107925,x_mid__y_pos,True,False,False,459,9.18,-37.97096193790662,0.0006507847430003191,0.0028791491631573033,True,False,False,450,9.0,24.615365558769383,0.0,0.004238037773147994,True,False,909,18.18,-13.35559637913724,909,156.459812,0.17212300550055004
rl_residual,4,363817036,x_neg__y_pos,True,False,False,437,8.74,0.2447805098153708,0.000632222733355382,0.0026170059362241697,True,False,False,437,8.74,51.92323452678079,0.0,0.003698593334306806,True,False,874,17.48,52.16801503659616,874,154.874254,0.17720166361556064
